D:\Web\PlayerData_API\src\middlewares\ValidationMiddleware.js: line 118, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\src\middlewares\ValidationMiddleware.js: line 154, col 10, Error - Expected to return a value at the end of static method 'validateBodyNickname'. (consistent-return)
D:\Web\PlayerData_API\src\middlewares\ValidationMiddleware.js: line 191, col 10, Error - Expected to return a value at the end of static method 'validatePlayerData'. (consistent-return)
D:\Web\PlayerData_API\src\middlewares\ValidationMiddleware.js: line 259, col 10, Error - Expected to return a value at the end of static method 'validateExperience'. (consistent-return)
D:\Web\PlayerData_API\src\middlewares\ValidationMiddleware.js: line 295, col 10, Error - Expected to return a value at the end of static method 'validateRewardData'. (consistent-return)
D:\Web\PlayerData_API\src\middlewares\ValidationMiddleware.js: line 387, col 10, Error - Expected to return a value at the end of static method 'validateHeroData'. (consistent-return)
D:\Web\PlayerData_API\src\middlewares\ValidationMiddleware.js: line 459, col 10, Error - Expected to return a value at the end of static method 'validateDialogStart'. (consistent-return)
D:\Web\PlayerData_API\src\middlewares\ValidationMiddleware.js: line 507, col 10, Error - Expected to return a value at the end of static method 'validateDialogAnswer'. (consistent-return)
D:\Web\PlayerData_API\src\middlewares\v2\AuthV2Middleware.js: line 29, col 41, Error - Expected to return a value at the end of method 'handleTokenRefresh'. (consistent-return)
D:\Web\PlayerData_API\src\middlewares\v2\AuthV2Middleware.js: line 73, col 43, Error - Expected to return a value at the end of method 'validateRefreshToken'. (consistent-return)
D:\Web\PlayerData_API\src\useCases\battlePass\AddExperienceUseCase.js: line 32, col 15, Error - 'trx' is defined but never used. Allowed unused args must match /^_/u. (no-unused-vars)
D:\Web\PlayerData_API\src\useCases\heroes\StartDialogUseCase.js: line 25, col 17, Error - Identifier 'correct_answer' is not in camel case. (camelcase)
D:\Web\PlayerData_API\src\useCases\heroes\StartDialogUseCase.js: line 25, col 17, Error - 'correct_answer' is assigned a value but never used. (no-unused-vars)
D:\Web\PlayerData_API\src\useCases\heroes\StartDialogUseCase.js: line 25, col 33, Error - 'correctAnswer' is assigned a value but never used. (no-unused-vars)
D:\Web\PlayerData_API\src\useCases\player\CreatePlayerUseCase.js: line 39, col 7, Error - Parsing error: Unexpected token if
D:\Web\PlayerData_API\src\useCases\player\LoginPlayerUseCase.js: line 37, col 7, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\src\useCases\v2\player\CreatePlayerV2UseCase.js: line 45, col 7, Error - Parsing error: Unexpected token if
D:\Web\PlayerData_API\test\apiVersioning.test.js: line 123, col 9, Error - Parsing error: Unexpected token .
D:\Web\PlayerData_API\utils\logger.js: line 36, col 9, Error - 'originalConsoleError' is assigned a value but never used. (no-unused-vars)
D:\Web\PlayerData_API\utils\logger.js: line 36, col 32, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\utils\logger.js: line 37, col 3, Warning - Unexpected console statement. (no-console)

69 problems
